,industry,job_title,description,job_link,job_id
15,Graphic Design,Visual Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also...",https://www.linkedin.com/jobs?viewJob=&jobId=43040933&trk=api*a130653*s139051*,1015
16,Internet,Full Stack Engineer,"Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q...",https://www.linkedin.com/jobs?viewJob=&jobId=44916772&trk=api*a130653*s139051*,1016
17,Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",https://www.linkedin.com/jobs?viewJob=&jobId=43061632&trk=api*a130653*s139051*,1017
18,Design,Graphic Designer,"                                           You are: A designer with a clean, minimalist sense of design who can work to a brief; Aware of the latest in UI/UX; Completely at home with web development technologies; Fanatical about detail; Needless to say, fluent in the use of the latest design software.   A typical workday might see you: Pull together a brand identity for an organisation; Work with...",https://www.linkedin.com/jobs?viewJob=&jobId=46397002&trk=api*a130653*s139051*,1018
19,"Internet, Computer Software",Senior Developer ( Product Development) Mumbai,"    Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team....",https://www.linkedin.com/jobs?viewJob=&jobId=44974270&trk=api*a130653*s139051*,1019
20,"Internet, Computer Software",Senior Developer ( Product Development) Mumbai,"    Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team....",https://www.linkedin.com/jobs?viewJob=&jobId=44974270&trk=api*a130653*s139051*,1020
21,Information Technology and Services,PreSales Manager – IOT-CE,"We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron...",https://www.linkedin.com/jobs?viewJob=&jobId=44955240&trk=api*a130653*s139051*,1021
22,Higher Education,Laravel Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",https://www.linkedin.com/jobs?viewJob=&jobId=44266831&trk=api*a130653*s139051*,1022
23,Computer Software,Crossover Front End Web Designer - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44967266&trk=api*a130653*s139051*,1023
24,Information Technology and Services,PreSales Manager – IOT-CE,"We are looking for a motivated senior solutioning professional who can support our sales teams to extract customer requirements and prepare solutions using Altiux IP, Services and Solutions. The role requires prior experience in consumer electronics preferably involving Internet of Things (IOT) technologies. Responsibilities: This is an individual contribution role and candidates should have stron...",https://www.linkedin.com/jobs?viewJob=&jobId=44955240&trk=api*a130653*s139051*,1024
25,Higher Education,Laravel Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",https://www.linkedin.com/jobs?viewJob=&jobId=44266831&trk=api*a130653*s139051*,1025
26,Computer Software,Crossover Front End Web Designer - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44967266&trk=api*a130653*s139051*,1026
27,Computer Software,Crossover Software Engineer - PHP - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44971098&trk=api*a130653*s139051*,1027
28,Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",https://www.linkedin.com/jobs?viewJob=&jobId=43040825&trk=api*a130653*s139051*,1028
29,Computer Software,Crossover Software Engineer - PHP - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44971098&trk=api*a130653*s139051*,1029
30,Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",https://www.linkedin.com/jobs?viewJob=&jobId=43040825&trk=api*a130653*s139051*,1030
31,Computer Software,Software Engineer,"Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m...",https://www.linkedin.com/jobs?viewJob=&jobId=43065956&trk=api*a130653*s139051*,1031
32,E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*,1032
33,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,1033
34,Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*,1034
35,Computer Software,Software Engineer,"Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m...",https://www.linkedin.com/jobs?viewJob=&jobId=43065956&trk=api*a130653*s139051*,1035
36,E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*,1036
37,"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*,1037
38,Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*,1038
39,"Higher Education, E-Learning, Education Management",Instructional Designer,"          The Function Space team is growing and is looking for an experienced instructional designer to plan, analyse, design, develop, deploy and evaluate learning materials. As an instructional designer, you will work closely with stakeholders, subject matter experts, and learners to help capture learning needs and offer learning solutions within a highly dynamic working environment.   Responsi...",https://www.linkedin.com/jobs?viewJob=&jobId=46343455&trk=api*a130653*s139051*,1039
40,Computer Software,"Microstrategy Architecture, Schema, and Development","JOB DESCRIPTION   Need Senior Level Consultant on Microstrategy to join immediately at the earliest. Lead or participate in Proof-of-Concept projects Lead Microstrategy Development Team Ability to play L2/L3 support role for Microstrategy Evaluate new Business Intelligence technologies, features, and products Technical team management experience including offshore team members Excellent personal c...",https://www.linkedin.com/jobs?viewJob=&jobId=43086627&trk=api*a130653*s139051*,1040
41,"Higher Education, E-Learning, Education Management",Instructional Designer,"          The Function Space team is growing and is looking for an experienced instructional designer to plan, analyse, design, develop, deploy and evaluate learning materials. As an instructional designer, you will work closely with stakeholders, subject matter experts, and learners to help capture learning needs and offer learning solutions within a highly dynamic working environment.   Responsi...",https://www.linkedin.com/jobs?viewJob=&jobId=46343455&trk=api*a130653*s139051*,1041
42,Computer Software,"Microstrategy Architecture, Schema, and Development","JOB DESCRIPTION   Need Senior Level Consultant on Microstrategy to join immediately at the earliest. Lead or participate in Proof-of-Concept projects Lead Microstrategy Development Team Ability to play L2/L3 support role for Microstrategy Evaluate new Business Intelligence technologies, features, and products Technical team management experience including offshore team members Excellent personal c...",https://www.linkedin.com/jobs?viewJob=&jobId=43086627&trk=api*a130653*s139051*,1042
43,Food & Beverages,Software Engineer – Front End,"Responsibilities: Producing and maintaining the web/mobile application's user interfaces Work closely with designers and turn the static assets to browser based web pages or mobile applications Work with backend engineers to develop complex, interactive applications. Participating, contributing in the UI/UX discussions and providing valuable feedback to create storyboards for the various old and n...",https://www.linkedin.com/jobs?viewJob=&jobId=58663632&trk=api*a130653*s139051*,1043
44,"Staffing and Recruiting, Information Technology and Services, Computer Software",Online Marketing Specialist,Responsibilities and Perks Understand the clients that Madgigs plans to attract and propose the required brand message to communicate on the advertisements and the front page. Composes online / offline marketing campaigns to build a database of potentials leads for consumption by the sales team. Researches methods to organically attract leads through SEO. Works with copywriters and bloggers to see...,https://www.linkedin.com/jobs?viewJob=&jobId=47169274&trk=api*a130653*s139051*,1044
45,"Marketing and Advertising, Computer Software",Python Developers with MySql Experience (2+ yrs),Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,https://www.linkedin.com/jobs?viewJob=&jobId=60053356&trk=api*a130653*s139051*,1045
46,"Staffing and Recruiting, Information Technology and Services, Computer Software",Online Marketing Specialist,Responsibilities and Perks Understand the clients that Madgigs plans to attract and propose the required brand message to communicate on the advertisements and the front page. Composes online / offline marketing campaigns to build a database of potentials leads for consumption by the sales team. Researches methods to organically attract leads through SEO. Works with copywriters and bloggers to see...,https://www.linkedin.com/jobs?viewJob=&jobId=47169274&trk=api*a130653*s139051*,1046
47,"Marketing and Advertising, Computer Software",Python Developers with MySql Experience (2+ yrs),Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,https://www.linkedin.com/jobs?viewJob=&jobId=60053356&trk=api*a130653*s139051*,1047
48,"Internet, Financial Services",Mobile UX Interaction designer,"Our product Binge is a solution at the cutting edge of technology in the mobile payments space. The mobile payments industry is in the process of bringing about a change user behaviour and a great user experience is essential for making the road for change easier for the user to navigate. We’re looking for a UX Designer to join our team in Bangalore, someone who is adept at telling stories through...",https://www.linkedin.com/jobs?viewJob=&jobId=44930086&trk=api*a130653*s139051*,1048
49,Information Technology and Services,Research Pathologist,"POSITION DESCRIPTION: The Research Pathologist will participate in the research and development of state of the art detection, diagnosis, prognosis, and prediction algorithms in the medical imaging domain − with emphasis toward digitized histology.  More specifically, the Research Pathologist will work with scientists and other computer vision experts to understand pathology images, create annotat...",https://www.linkedin.com/jobs?viewJob=&jobId=44995559&trk=api*a130653*s139051*,1049
50,"Online Media, Newspapers",Product Manager Intern,This Job is based out of Bangalore.   Plash is looking for an intern who is passionate about News and Content Discovery in the Mobile world to join Product team for the summer / 3 months (with possibility of extending a full time offer) based on performance . The successful candidate must have strong experience working on technology products and ideally will have prior experience creating launch p...,https://www.linkedin.com/jobs?viewJob=&jobId=47153271&trk=api*a130653*s139051*,1050
51,"Internet, Financial Services",Mobile UX Interaction designer,"Our product Binge is a solution at the cutting edge of technology in the mobile payments space. The mobile payments industry is in the process of bringing about a change user behaviour and a great user experience is essential for making the road for change easier for the user to navigate. We’re looking for a UX Designer to join our team in Bangalore, someone who is adept at telling stories through...",https://www.linkedin.com/jobs?viewJob=&jobId=44930086&trk=api*a130653*s139051*,1051
52,Information Technology and Services,Research Pathologist,"POSITION DESCRIPTION: The Research Pathologist will participate in the research and development of state of the art detection, diagnosis, prognosis, and prediction algorithms in the medical imaging domain − with emphasis toward digitized histology.  More specifically, the Research Pathologist will work with scientists and other computer vision experts to understand pathology images, create annotat...",https://www.linkedin.com/jobs?viewJob=&jobId=44995559&trk=api*a130653*s139051*,1052
53,"Online Media, Newspapers",Product Manager Intern,This Job is based out of Bangalore.   Plash is looking for an intern who is passionate about News and Content Discovery in the Mobile world to join Product team for the summer / 3 months (with possibility of extending a full time offer) based on performance . The successful candidate must have strong experience working on technology products and ideally will have prior experience creating launch p...,https://www.linkedin.com/jobs?viewJob=&jobId=47153271&trk=api*a130653*s139051*,1053
54,Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,https://www.linkedin.com/jobs?viewJob=&jobId=44257916&trk=api*a130653*s139051*,1054
55,"Information Technology and Services, Computer Software",Mobile Engineer (iOS or Android),"Software Development Engineer II/III (Mobile Apps)  Major Media Company India Engineering Office   Our client is a major Media Company Headquartered in New York and is seeking talented and innovative iOS and Android engineers to join the Bangalore Native Apps Team. The team’s charter is to rapidly prototype and launch new mobile, tablet, wearable and TV based apps for the portfolio of brands owned...",https://www.linkedin.com/jobs?viewJob=&jobId=44954379&trk=api*a130653*s139051*,1055
56,Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,https://www.linkedin.com/jobs?viewJob=&jobId=44257916&trk=api*a130653*s139051*,1056
57,"Information Technology and Services, Computer Software",Mobile Engineer (iOS or Android),"Software Development Engineer II/III (Mobile Apps)  Major Media Company India Engineering Office   Our client is a major Media Company Headquartered in New York and is seeking talented and innovative iOS and Android engineers to join the Bangalore Native Apps Team. The team’s charter is to rapidly prototype and launch new mobile, tablet, wearable and TV based apps for the portfolio of brands owned...",https://www.linkedin.com/jobs?viewJob=&jobId=44954379&trk=api*a130653*s139051*,1057
58,Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",https://www.linkedin.com/jobs?viewJob=&jobId=44289028&trk=api*a130653*s139051*,1058
59,Information Technology and Services,Software Developer,"Experience - 2+ years Job Function – Techno-Functional  As a Software Engineer of the Customer Success team you will be responsible to Work through the entire Software Development Life Cycle, from gathering customer requirements, analysing, developing, and deploying them. Understand the product thoroughly and be a functional expert throughout the breadth of Cloud Lending’s products. Analyse custom...",https://www.linkedin.com/jobs?viewJob=&jobId=58403045&trk=api*a130653*s139051*,1059
60,Computer Software,QA Engineer,"GENWI is looking for QA engineer to plan &amp; execute QA activities for Genwi Platform and Mobile Apps. As the QA Engineer, your key responsibilities would include : Plan the QA activities of Genwi Platform and iOS, Android &amp; HTML5 Apps Develop testcases for GENWI Platform and Apps Manual testing of GENWI Platform and iOS, Android &amp; HTML5 apps Managing iOS, Android and HTML5 Apps build an...",https://www.linkedin.com/jobs?viewJob=&jobId=44246033&trk=api*a130653*s139051*,1060
61,Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",https://www.linkedin.com/jobs?viewJob=&jobId=44289028&trk=api*a130653*s139051*,1061
62,Information Technology and Services,Software Developer,"Experience - 2+ years Job Function – Techno-Functional  As a Software Engineer of the Customer Success team you will be responsible to Work through the entire Software Development Life Cycle, from gathering customer requirements, analysing, developing, and deploying them. Understand the product thoroughly and be a functional expert throughout the breadth of Cloud Lending’s products. Analyse custom...",https://www.linkedin.com/jobs?viewJob=&jobId=58403045&trk=api*a130653*s139051*,1062
63,Computer Software,QA Engineer,"GENWI is looking for QA engineer to plan &amp; execute QA activities for Genwi Platform and Mobile Apps. As the QA Engineer, your key responsibilities would include : Plan the QA activities of Genwi Platform and iOS, Android &amp; HTML5 Apps Develop testcases for GENWI Platform and Apps Manual testing of GENWI Platform and iOS, Android &amp; HTML5 apps Managing iOS, Android and HTML5 Apps build an...",https://www.linkedin.com/jobs?viewJob=&jobId=44246033&trk=api*a130653*s139051*,1063
64,Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",https://www.linkedin.com/jobs?viewJob=&jobId=43010559&trk=api*a130653*s139051*,1064
65,"Marketing and Advertising, Writing and Editing",Digital Content Writer,"Have you heard of ""snackable"" content? That is what the digital world demands today. The digital content writer creates ""snackable"" content for websites, digital campaigns and social media. You can exploit your creative, storytelling, communication  and  research skills. You develop content for multiple clients across industries and  get exposed to different topics.    So, if you are looking for a...",https://www.linkedin.com/jobs?viewJob=&jobId=43013589&trk=api*a130653*s139051*,1065
66,"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*,1066
67,Sporting Goods,Web Application Developer,"Experience Required: Up to 3 years’experience with HTML/XHTML and CSS Up to 2 years’ experience Web programming experience, including PHP, ASP or JSP Up to 1 year experience working with relational database systems such as MySQL, MSSQL or Oracle and a good working knowledge of SQL Qualification:BS in computer science or a related field bachelor's degree program in multimedia or web design   Job Re...",https://www.linkedin.com/jobs?viewJob=&jobId=44995955&trk=api*a130653*s139051*,1067
68,Internet,Mobile Application Developer,"Design the architecture of our native android application. Write a clean, fast and maintainable code for our android app. Research on latest trends in android development and evaluate and incorporate the same in our application. ( We built our existing hybrid app on material design a fortnight after google highlighted material ui in their io. We did it before gmail app). Evaluation and implement o...",https://www.linkedin.com/jobs?viewJob=&jobId=47105204&trk=api*a130653*s139051*,1068
69,Internet,Software Engineer,"IHB (Los Angeles, CA, Bangalore, KA) Posted: April 5, 2015 | Job Type: Full Time 1.8 - 2.4 - LPA  We are seeking an experienced Python/MongoDB (or loves Python/Mongo) developer who is passionate about building software. This is a great opportunity to make a big impact as an integral part of our development team.   This job is based in our Bangalore office and offers a competitive compensation (wit...",https://www.linkedin.com/jobs?viewJob=&jobId=41675773&trk=api*a130653*s139051*,1069
